#Name,Car.ay,Car.tx,Car.ty,Car.v,Steer.WhlAng,Time
#Dataset,C1,C1,C1,C1,C1,C1
#Unit,m/s^2,m,m,m/s,deg,s
,3.28E-08,2.743412733,2.423355818,0,0,0
,9.72E-08,2.743412733,2.423355818,5.28E-08,4.30E-15,0.01
,2.34E-08,2.743412733,2.423355818,1.14E-07,8.18E-15,0.02
,1.01E-09,2.743412733,2.423355818,7.02E-08,8.84E-15,0.03
,7.82E-10,2.743412733,2.423355818,1.23E-07,9.33E-15,0.04
,4.17E-09,2.743412733,2.423355818,1.78E-07,1.07E-14,0.05
,1.91E-09,2.743412733,2.423355818,2.24E-07,1.33E-14,0.06
,-7.23E-09,2.743412733,2.423355818,2.50E-07,1.68E-14,0.07
,-1.89E-08,2.743412733,2.423355818,2.55E-07,2.04E-14,0.08
,-2.91E-08,2.743412733,2.423355818,2.55E-07,2.34E-14,0.09
,-3.67E-08,2.743412733,2.423355818,2.55E-07,2.59E-14,0.1
,-4.13E-08,2.743412733,2.423355818,2.55E-07,2.79E-14,0.11
,-6.90E-08,2.743412733,2.423355818,2.61E-07,2.98E-14,0.12
,-6.10E-08,2.743412733,2.423355818,2.67E-07,3.14E-14,0.13
,-4.60E-08,2.743412733,2.423355818,2.75E-07,3.28E-14,0.14
,-1.93E-08,2.743412733,2.423355818,2.81E-07,3.39E-14,0.15
,-1.02E-07,2.743412733,2.423355818,2.88E-07,3.50E-14,0.16
,1.11E-08,2.743412733,2.423355818,2.97E-07,3.60E-14,0.17
,4.95E-08,2.743412733,2.423355818,3.03E-07,3.68E-14,0.18
,8.00E-09,2.743412733,2.423355818,3.12E-07,3.75E-14,0.19
,-6.96E-09,2.743412733,2.423355818,3.20E-07,3.84E-14,0.2
,-2.12E-08,2.743412733,2.423355818,3.27E-07,3.90E-14,0.21
,-1.03E-08,2.743412733,2.423355818,3.36E-07,3.97E-14,0.22
,6.30E-10,2.743412733,2.423355818,3.45E-07,4.03E-14,0.23
,4.76E-07,2.743412733,2.423355818,3.53E-07,4.09E-14,0.24
,4.89E-07,2.743412733,2.423355818,3.61E-07,4.14E-14,0.25
,-9.51E-08,2.743412733,2.423355818,3.70E-07,4.20E-14,0.26
,-2.30E-08,2.743412495,2.423355818,3.78E-07,4.25E-14,0.27
,-6.31E-07,2.743412495,2.423355818,3.84E-07,4.29E-14,0.28
,9.64E-07,2.743412495,2.423355818,3.90E-07,4.33E-14,0.29
,1.09E-06,2.743412495,2.423355818,3.94E-07,4.36E-14,0.3
,6.27E-07,2.743412495,2.423355818,3.97E-07,4.40E-14,0.31
,7.65E-07,2.743412495,2.423355818,3.97E-07,4.43E-14,0.32
,3.49E-07,2.743412495,2.423355818,3.99E-07,4.47E-14,0.33
,2.95E-07,2.743412495,2.423355818,3.97E-07,4.48E-14,0.34
,1.10E-07,2.743412495,2.423355818,3.94E-07,4.52E-14,0.35
,4.44E-08,2.743412495,2.423355818,3.92E-07,4.55E-14,0.36
,2.88E-08,2.743412495,2.423355818,3.90E-07,4.57E-14,0.37
,5.93E-07,2.743412495,2.423355818,3.88E-07,4.59E-14,0.38
,7.72E-08,2.743412495,2.423355818,3.85E-07,4.60E-14,0.39
,5.52E-07,2.743412495,2.423355818,3.82E-07,4.62E-14,0.4
,-9.86E-09,2.743412495,2.423355818,3.80E-07,4.63E-14,0.41
,1.53E-07,2.743412495,2.423355818,3.78E-07,4.65E-14,0.42
,6.89E-07,2.743412495,2.423355818,3.77E-07,4.66E-14,0.43
,1.67E-07,2.743412495,2.423355818,3.76E-07,4.67E-14,0.44
,-7.52E-08,2.743412495,2.423355818,3.74E-07,4.68E-14,0.45
,-9.15E-08,2.743412495,2.423355818,3.74E-07,4.69E-14,0.46
,-1.87E-07,2.743412495,2.423355818,3.75E-07,4.69E-14,0.47
,4.70E-07,2.743412495,2.423355818,3.77E-07,4.70E-14,0.48
,-2.13E-08,2.743412495,2.423355818,3.77E-07,4.71E-14,0.49
,5.39E-07,2.743412495,2.423355818,3.76E-07,4.71E-14,0.5
,5.09E-07,2.743412495,2.423355818,3.75E-07,4.72E-14,0.51
,-1.46E-08,2.743412495,2.423355818,3.74E-07,4.72E-14,0.52
